id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,source,date,pb_over_history,pe_over_history
507866,SZ399812,养老产业,3,12.2031,1.8099,0.0188,0.0436,0.1483,0.0245,1778428800000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1453305600000,1778495521721,1778495521721,1.1793,False,5,05-11,0.9564,0.9812
507864,SZ399975,证券公司,3,15.1001,1.2919,0.0652,0.1804,0.0856,0.0172,1778428800000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1453305600000,1778495521568,1778495521568,1.0888,True,5,05-11,0.8196,0.9348
507885,CSIH30533,中概互联50,3,17.2405,2.3438,0.0552,0.0736,0.1359,0.0104,1778428800000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1453305600000,1778495523493,1778495523493,,False,5,05-11,0.9264,0.9448
507839,CSIH11136,中国互联,3,17.5362,2.3618,0.1044,0.0752,0.1347,0.0109,1778169600000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778290320996,1778290320996,,False,5,05-08,0.9248,0.8956
507900,CSIH30094,消费红利,2,20.5232,3.6554,0.1804,0.0404,0.1781,0.0422,1778428800000,low,0,,0.05,1453219200000,1778495524817,1778495524817,1.8836,False,5,05-11,0.9596,0.8196
507861,SZ399997,中证白酒,3,21.2742,4.1202,0.2316,0.0392,0.1937,0.0419,1778428800000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1453305600000,1778495521295,1778495521295,1.9307,False,5,05-11,0.9608,0.7684
507865,SZ399396,国证食品,3,22.4704,3.6904,0.198,0.0076,0.1642,0.0379,1778428800000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1453305600000,1778495521642,1778495521642,1.7815,False,5,05-11,0.9924,0.802
507877,SH000932,主要消费,3,23.2618,3.5641,0.1832,0.0304,0.1532,0.0371,1778428800000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1453305600000,1778495522731,1778495522731,1.4319,False,5,05-11,0.9696,0.8168
507894,SZ399989,中证医疗,3,29.9845,3.2916,0.1848,0.0512,0.1098,0.0143,1778428800000,low,0,,0.05,1453305600000,1778495524261,1778495524261,1.3829,False,5,05-11,0.9488,0.8152
507892,SZ399393,国证地产,3,0.0,0.9505,0.0,0.352,0.0,0.0109,1778428800000,mid,1,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1453305600000,1778495524053,1778495524053,,True,5,05-11,0.648,1.0
