id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,pb_over_history,pe_over_history,date,peg
508447,SZ399393,国证地产,3,0.0,0.8855,0.0,0.2412,0.0,0.0118,1779033600000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100324001,1779100324001,True,5,0.7588,1.0,05-18,
508421,SZ399812,养老产业,3,11.3816,1.6883,0.0004,0.0,0.1483,0.0261,1779033600000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100321745,1779100321745,False,5,1.0,0.9996,05-18,1.1045
508419,SZ399975,证券公司,3,14.4107,1.2329,0.0468,0.1012,0.0856,0.0178,1779033600000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100321562,1779100321562,True,5,0.8988,0.9532,05-18,1.0158
508440,CSIH30533,中概互联50,3,16.2981,2.2804,0.012,0.0452,0.1399,0.0114,1779033600000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100323481,1779100323481,False,5,0.9548,0.988,05-18,
508397,CSIH11136,中国互联,3,16.4486,2.2845,0.0344,0.0464,0.1389,0.0163,1778774400000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1453824000000,1778895120898,1778895120898,False,5,0.9536,0.9656,05-15,
508455,CSIH30094,消费红利,2,19.7132,3.5125,0.1204,0.0304,0.1782,0.0439,1779033600000,low,0,,0.05,1453824000000,1779100324684,1779100324684,False,5,0.9696,0.8796,05-18,1.853
508416,SZ399997,中证白酒,3,20.365,3.9441,0.1904,0.0316,0.1937,0.0438,1779033600000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100321312,1779100321312,False,5,0.9684,0.8096,05-18,1.8985
508456,HKHSTECH,恒生科技,3,20.9936,2.5053,0.1429,0.2878,0.1193,0.0124,1779033600000,low,0,,0.05,1595779200000,1779100324777,1779100324777,False,5,0.7122,0.8571,05-18,
508420,SZ399396,国证食品,3,21.6306,3.5567,0.144,0.0024,0.1644,0.0396,1779033600000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100321653,1779100321653,False,5,0.9976,0.856,05-18,1.7439
508432,SH000932,主要消费,3,22.2738,3.4163,0.1592,0.0048,0.1534,0.039,1779033600000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100322744,1779100322744,False,5,0.9952,0.8408,05-18,1.3537
508449,SZ399989,中证医疗,3,28.2442,3.1017,0.1104,0.0096,0.1098,0.0151,1779033600000,low,0,,0.05,1453910400000,1779100324217,1779100324217,False,5,0.9904,0.8896,05-18,1.3345
508458,GDAXI,德国DAX,1,17.1944,1.5333,0.474,0.1432,0.0892,0.0011,1779033600000,mid,1,https://danjuanfunds.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1453824000000,1779100324918,1779100324918,False,5,0.8568,0.526,05-18,
508422,SH000989,全指可选,3,22.988,2.2662,0.3536,0.26,0.0986,0.025,1779033600000,mid,1,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100321818,1779100321818,False,5,0.74,0.6464,05-18,0.7827
508423,SH000991,全指医药,3,31.2938,2.8311,0.3096,0.016,0.0905,0.0173,1779033600000,mid,1,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100321893,1779100321893,False,5,0.984,0.6904,05-18,1.0407
508438,SH000978,医药100,3,31.7523,2.8856,0.3616,0.012,0.0909,0.017,1779033600000,mid,1,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100323307,1779100323307,False,5,0.988,0.6384,05-18,1.0488
508414,SZ399986,中证银行,3,6.745,0.6414,0.7664,0.2896,0.0951,0.0506,1779033600000,high,2,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100321158,1779100321158,True,5,0.7104,0.2336,05-18,2.1338
508404,SPACEVCP,标普价值,2,7.4965,0.8257,0.7488,0.7232,0.1101,0.0415,1779033600000,high,2,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1453996800000,1779100320162,1779100320162,False,5,0.2768,0.2512,05-18,1.7393
508442,CSI931157,红利成长LV,2,8.1356,0.8749,0.6815,0.5845,0.1075,0.0456,1779033600000,high,2,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1556121600000,1779100323636,1779100323636,False,5,0.4155,0.3185,05-18,1.0192
508430,CSIH30269,红利低波,2,8.3385,0.8395,0.7572,0.5356,0.1007,0.0483,1779033600000,high,2,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100322480,1779100322480,False,5,0.4644,0.2428,05-18,1.9006
508413,SH000922,中证红利,2,8.5111,0.8187,0.7832,0.4192,0.0962,0.0506,1779033600000,high,2,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100321057,1779100321057,False,5,0.5808,0.2168,05-18,1.4429
508452,SH000015,上证红利,2,8.691,0.8233,0.9416,0.5716,0.0947,0.0501,1779033600000,high,2,,0.05,1453737600000,1779100324475,1779100324475,False,5,0.4284,0.0584,05-18,1.5392
508448,CSI930740,300红利LV,2,9.0492,0.9009,0.7964,0.488,0.0996,0.0477,1779033600000,high,2,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1779100324076,1779100324076,False,5,0.512,0.2036,05-18,1.9532
508433,SH000919,300价值,2,9.0645,0.8898,0.7268,0.3068,0.0982,0.0435,1779033600000,high,2,https://danjuanfunds.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100322832,1779100322832,False,5,0.6932,0.2732,05-18,1.4451
508444,CSPSADRP,标普红利,2,9.5949,0.9826,0.9884,0.6628,0.1024,0.045,1779033600000,high,2,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1453824000000,1779100323767,1779100323767,False,5,0.3372,0.0116,05-18,1.8693
508396,HSFML25,香港大盘,1,9.8872,1.0025,0.6752,0.4504,0.1014,0.0297,1778774400000,high,2,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1453824000000,1778895120600,1778895120600,False,5,0.5496,0.3248,05-15,1.1252
508426,SZ399550,央视50,2,9.9959,0.9879,0.7568,0.1256,0.0988,0.044,1779033600000,high,2,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1453824000000,1779100322127,1779100322127,False,5,0.8744,0.2432,05-18,1.3542
508425,SH000925,基本面50,2,10.0887,0.9719,0.796,0.3356,0.0963,0.0419,1779033600000,high,2,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100322050,1779100322050,False,5,0.6644,0.204,05-18,1.1676
508409,SH000170,50AH优选,1,10.2201,1.1734,0.692,0.6904,0.1148,0.0309,1779033600000,high,2,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100320735,1779100320735,False,5,0.3096,0.308,05-18,1.8146
