id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,source,pb_over_history,pe_over_history,date
507992,CSI931142,东证竞争,2,20.6407,3.0424,0.9512,0.9132,0.1474,0.0225,1778515200000,high,2,https://danjuanfunds.com/funding/007658?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778581923382,1778581923382,0.6884,False,5,0.0868,0.0488,05-12
507968,SZ399998,中证煤炭,3,21.5098,1.7182,0.8716,0.9364,0.0799,0.048,1778515200000,high,2,https://danjuanfunds.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1450108800000,1778581921324,1778581921324,0.8831,True,5,0.0636,0.1284,05-12
507980,CSI930782,500低波,2,22.1264,1.7895,0.6744,0.7515,0.0809,0.0214,1778515200000,high,2,https://danjuanfunds.com/funding/003318?channel=1800100001&source=guzhi__web_20171001,0.05,1454515200000,1778581922315,1778581922315,0.8777,False,5,0.2485,0.3256,05-12
507952,SPHCMSHP,香港中小,1,22.9565,1.5505,0.992,0.8018,0.0675,0.0212,1778428800000,high,2,https://danjuanfunds.com/funding/501021?channel=1800100001&source=guzhi__web_20171001,0.05,1467907200000,1778549521106,1778549521106,,False,5,0.1982,0.008,05-11
507982,SZ399317,国证A指,1,23.9258,1.9251,0.9992,0.7376,0.0805,0.0167,1778515200000,high,2,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778581922467,1778581922467,1.0006,False,5,0.2624,0.0008,05-12
507954,HKHSSCNE,新经济,2,25.2178,2.9555,0.5865,0.5462,0.1172,0.0109,1778428800000,high,2,,0.05,1542729600000,1778549521616,1778549521616,,False,5,0.4538,0.4135,05-11
507986,SZ399702,基本面120,2,27.0632,2.2154,0.992,0.5568,0.0819,0.023,1778515200000,high,2,https://danjuanfunds.com/funding/070023?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778581922864,1778581922864,0.4747,False,5,0.4432,0.008,05-12
507985,SZ399701,基本面60,2,27.852,2.1059,0.9964,0.4092,0.0756,0.0256,1778515200000,high,2,https://danjuanfunds.com/funding/530015?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778581922707,1778581922707,0.4669,False,5,0.5908,0.0036,05-12
507946,SP500,标普500,1,29.1411,5.7396,0.8628,0.9992,0.197,0.0102,1778428800000,high,2,https://danjuanfunds.com/funding/096001?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778549520215,1778549520215,1.9162,False,5,0.0008,0.1372,05-11
507990,SZ399417,新能源车,3,31.7208,4.1467,0.4992,0.6932,0.1307,0.0118,1778515200000,high,2,https://danjuanfunds.com/funding/160225?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778581923206,1778581923206,0.6255,True,5,0.3068,0.5008,05-12
507961,SZ399330,深证100,1,31.7441,3.1867,0.9752,0.7432,0.1004,0.0177,1778515200000,high,2,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778581920728,1778581920728,0.6006,False,5,0.2568,0.0248,05-12
508008,935600,MSCI印度,1,34.8531,4.6979,0.7748,0.7748,0.1348,0.0098,1778515200000,high,2,https://danjuanfunds.com/funding/164824?channel=1800100001&source=guzhi__web_20171001,0.05,1477756800000,1778581924684,1778581924684,,False,5,0.2252,0.2252,05-12
507947,NDX,纳指100,1,36.4366,10.4111,0.8684,0.9976,0.2857,0.0043,1778428800000,high,2,https://danjuanfunds.com/funding/160213?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778549520320,1778549520320,1.8084,False,5,0.0024,0.1316,05-11
507988,SZ399001,深证成指,1,37.3068,3.0728,0.9992,0.7024,0.0824,0.014,1778515200000,high,2,https://danjuanfunds.com/funding/163109?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778581923040,1778581923040,0.5908,False,5,0.2976,0.0008,05-12
507966,SH000827,中证环保,3,38.2729,3.0185,0.8864,0.7448,0.0789,0.0146,1778515200000,high,2,https://danjuanfunds.com/funding/001064?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778581921146,1778581921146,0.6253,False,5,0.2552,0.1136,05-12
507959,SH000905,中证500,1,38.3073,2.6476,0.8756,0.8348,0.0691,0.0124,1778515200000,high,2,https://danjuanfunds.com/funding/000478?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778581920545,1778581920545,0.8248,False,5,0.1652,0.1244,05-12
507997,SZ399971,中证传媒,3,43.9595,2.4914,0.7096,0.408,0.0567,0.0176,1778515200000,high,2,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778581923790,1778581923790,1.0613,False,5,0.592,0.2904,05-12
507963,SZ399006,创业板,1,47.4651,6.1767,0.5912,0.7408,0.1301,0.0091,1778515200000,high,2,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778581920880,1778581920880,0.7298,False,5,0.2592,0.4088,05-12
507996,SZ399610,TMT50,3,51.2812,6.5713,0.9332,0.998,0.1281,0.0065,1778515200000,high,2,https://danjuanfunds.com/funding/160224?channel=1800100001&source=guzhi__web_20171001,0.05,1488988800000,1778581923718,1778581923718,0.703,False,5,0.002,0.0668,05-12
507994,CSI931087,科技龙头,3,54.7728,7.1073,0.9094,0.9336,0.1298,0.0049,1778515200000,high,2,https://danjuanfunds.com/funding/007873?channel=1800100001&source=guzhi__web_20171001,0.05,1553011200000,1778581923549,1778581923549,0.9948,False,5,0.0664,0.0906,05-12
507962,SH000852,中证1000,1,56.7131,2.8716,0.8704,0.7408,0.0506,0.0093,1778515200000,high,2,https://danjuanfunds.com/funding/003646?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778581920803,1778581920803,0.9226,False,5,0.2592,0.1296,05-12
508004,CSI931079,5G通讯,3,57.3287,8.0861,0.9982,0.9994,0.141,0.0055,1778515200000,high,2,,0.05,1556553600000,1778581924416,1778581924416,0.6323,False,5,0.0006,0.0018,05-12
508002,CSI930652,中证电子,3,62.606,6.6919,0.9648,0.9992,0.1069,0.0057,1778515200000,high,2,,0.05,1453305600000,1778581924248,1778581924248,0.9207,False,5,0.0008,0.0352,05-12
507975,SH000993,全指信息,3,69.3503,6.5831,0.8428,0.9992,0.0949,0.0055,1778515200000,high,2,https://danjuanfunds.com/funding/002974?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778581921940,1778581921940,0.9614,False,5,0.0008,0.1572,05-12
507969,SZ399967,中证军工,3,82.7166,4.1585,0.7172,0.9168,0.0503,0.004,1778515200000,high,2,https://danjuanfunds.com/funding/163115?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778581921415,1778581921415,1.1493,True,5,0.0832,0.2828,05-12
508005,SH000688,科创50,1,163.2035,7.6124,0.9383,0.9311,0.0466,0.0028,1778515200000,high,2,,0.05,1577721600000,1778581924474,1778581924474,0.8597,False,5,0.0689,0.0617,05-12
